	Overall Accuracy	Average Accuracy	Average Precision	Average Recall
Unigram	0.8542409508373852	0.8529120249815192	0.8133639921362441	0.9173221758224894
Bigram	0.13452188006482982	0.16265216972954502	0.12519949216517245	0.9449187866235048
Backoff	0.882766072393301	0.8825438245335168	0.8480245419321347	0.8863755146460736
HMM	0.8959481361426256	0.8938869669207187	0.8550965516336498	0.8119465887963914
